BPM,KEY,METER,VOCAL GENDER,VOCAL PRESENCE,main_genres,sub_genres,FREE GENRES,simple_moods,moods,character ,MOVEMENT ,VALENCE,AROUSAL,ENERGY LEVEL,EMOTIONAL PROFILE,ENERGY DYNAMICS,EMOTIONAL DYNAMICS,INSTRUMENTS ,INSTRUMENTS PRESENCE,BRAND VALUES ,AUGMENTED KEYWORDS,"AUTO-DESCRIPTION
*(needs to be booked separately)",MUSICAL ERA,"LYRIC TAGS
*(needs to be booked separately)","LYRIC EXPLICITNESS
*(needs to be booked separately)",LYRIC AI TRANSCRIPT,VOICE OVER,"MOST SIGNIFICANT PART
(The most striking part of the song)"
,,,,,,Black Metal,Aesthetic Rap,,Exhilarating,,,,,,,,,Ukulele,,Buoyant,Ambient,,,Sacrifice and Devotion,,,,
,,,,,,Death Metal,Afghan Pop,,Fearful,,,,,,,,,Vibraphone,,Calm,Ambient Chill Out,,,Motivating and Encouraging,,,,
,,,,,,Doom Metal,Afghan Rap,,Feel Good,,,,,,,,,Violin,,Captivating,Ambitious,,,Technology and Modernity,,,,
,,,,,,Heavy Metal,Afghan Traditional,,Fiery,,,,,,,,,Woodwinds,,Care Free,Amusing,,,Rebellion and Revolution,,,,
,,,,,,Metalcore,African Electronic,,Frightening,,,,,,,,,Glockenspiel,,Career,Anarchy,,,Violence and Aggression,,,,
,,,,,,Nu Metal,African Experimental,,Fun,,,,,,,,,,,Caring,Ancient,,,Anger and Frustration,,,,
,,,,,,,African Gospel,,Funny,,,,,,,,,,,Casual,Angelic,,,Drugs and Addiction,,,,
,,,,,,Main Genre: Rap / Hip-Hop,African Metal,,Gloomy,,,,,,,,,,,Cautious,Anger,,,Crime and Punishment,,,,
,,,,,,Contemporary RnB,African Percussion,,Graceful,,,,,,,,,,,Celebrity,Angry,,,War and Conflict,,,,
,,,,,,Gangsta,African Reggae,,Happy,,,,,,,,,,,Celestial,Angst,,,Politics and Society,,,,
,,,,,,Jazzy HipHop,African Rock,,Heavy,,,,,,,,,,,Challenge,Anguish,,,Family and Parenthood,,,,
,,,,,,Pop Rap,African-American Classical,,Heroic,,,,,,,,,,,Chaos,Anthemic,,,Survival and Healing,,,,
,,,,,,Trap,Afrikaans,,Hopeful,,,,,,,,,,,Chaotic,Anthemic Rock,,,Existentialism and Philosophy,,,,
,,,,,,,Afro Dancehall,,Horror,,,,,,,,,,,Charismatic,Anticipation,,,Cultural Heritage and Tradition,,,,
