BPM,KEY,METER,VOCAL GENDER,VOCAL PRESENCE,main_genres,sub_genres,FREE GENRES,simple_moods,moods,character ,MOVEMENT ,VALENCE,AROUSAL,ENERGY LEVEL,EMOTIONAL PROFILE,ENERGY DYNAMICS,EMOTIONAL DYNAMICS,INSTRUMENTS ,INSTRUMENTS PRESENCE,BRAND VALUES ,AUGMENTED KEYWORDS,"AUTO-DESCRIPTION
*(needs to be booked separately)",MUSICAL ERA,"LYRIC TAGS
*(needs to be booked separately)","LYRIC EXPLICITNESS
*(needs to be booked separately)",LYRIC AI TRANSCRIPT,VOICE OVER,"MOST SIGNIFICANT PART
(The most striking part of the song)"
,,,,,,,Japanese Garage Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Girl Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Guitar,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Heavy Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese House,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Hyperpop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Idm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Indie Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Indie Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Indie Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Instrumental,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Jazz Fusion,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Jazztronica,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Math Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Melodic Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Metalcore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese New Wave,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Old School Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Orchestra,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Piano,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Pop Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Pop Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Post-Hardcore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Post-Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Post-Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Power Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Prog,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Progressive House,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Psychedelic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Psychedelic Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Punk Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese R&B,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Rockabilly,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Screamo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Shoegaze,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Singer-Songwriter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Ska,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Soul,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Soundtrack,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Techno,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Teen Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Traditional,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Trap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Underground Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Vgm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Viral Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Vocal Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Vtuber,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanese Worship,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Japanoise,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Javanese Dangdut,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jawaiian,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Accordion,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Blues,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Boom Bap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Brass,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Caraibes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Catala,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Clarinet,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Colombiano,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Cover,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Cubano,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Dominicano,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Double Bass,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Drums,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Flute,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Funk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Fusion,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Guitar,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Harp,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz House,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Mexicano,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Orchestra,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Organ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Piano,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Puertorriqueno,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Quartet,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Saxophone,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Tico,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Trio,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Trombone,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Trumpet,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Venezolano,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Vibraphone,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Violin,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazz Worship,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazzcore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazztronica,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jazzy DnB,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jersey Club,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jewish A Capella,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jewish Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jewish Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jig And Reel,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jirai Kei,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jordanian Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Joropo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Josei Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jovem Guarda,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Judaica,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jug Band,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Juju,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jump Blues,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jump Up,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jumpstyle,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jumptek,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Jungle,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Junior Eurovision,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Junior Songfestival,,,,,,,,,,,,,,,,,,,,,
,,,,,,,K-Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,K-Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,K-Pop Boy Group,,,,,,,,,,,,,,,,,,,,,
,,,,,,,K-Pop Girl Group,,,,,,,,,,,,,,,,,,,,,
,,,,,,,K-Pop Reality Show,,,,,,,,,,,,,,,,,,,,,
,,,,,,,K-Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,K-Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kabarett,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kabyle,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kabyle Moderne,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kalmar Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kamen Rider,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kaneka,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kannada Bhava Geethe,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kannada Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kannada Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kansai Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kansas City Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kansas Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kansas Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Karadeniz Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Karadeniz Turkuleri,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Karelian Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Karneval,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kaseko,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kashmiri Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kasi Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kavkaz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kawaii EDM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kawaii Future Bass,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kawaii Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kayokyoku,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kazakh Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kazakh Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kazakh Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kc Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kelowna Bc Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kent Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kentucky Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kentucky Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kentucky Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kentucky Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kentucky Roots,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kenyan Alternative,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kenyan Drill,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kenyan Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kenyan Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kermis,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Keroncong,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Khaleeji Iraqi,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Khaliji,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Khayal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Khmer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Khmer Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kids Dance Party,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kids Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kinderchor,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kindermusik,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kindie Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kingston On Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kirtan,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kiwi Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kizomba,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kizomba Antigas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kizomba Cabo-Verdiana,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Klapa,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kleine Hoerspiel,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kleinkunst,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Klezmer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Klubowe,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Knoxville Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kodomo No Ongaku,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Koledy,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Koligeet,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kolkata Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kollywood,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kolsche Karneval,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Komedi,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kompa,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kompa Gouyad,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kora,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean City Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Classical Performance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Classical Piano,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Dream Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Electronic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Electropop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Hyperpop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Indie Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Indie Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Instrumental,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Mask Singer,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Old School Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Ost,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean R&B,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Singer-Songwriter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Soundtrack,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Superband,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Traditional,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Trap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Underground Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Korean Worship,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kosovan Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Krajiska Muzika,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Krautrock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kritika,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kuduro,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kuduro Antigo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kundalini,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kundiman,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kurdish Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kurdish Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kurdish Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kurdish Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kwaito,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kyrgyz Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kyrgyz Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kyushu Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,La Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,La Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Laboratorio,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lafayette Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lagu Aceh,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lagu Bali,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lagu Jawa,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lagu Manado,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lagu Melayu,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lagu Sabahan,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lagu Sasak,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lagu Sunda,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lagu Tarling,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lagu Timur,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Laiko,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lampung Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lancashire Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lancaster Pa Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Language,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lao Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lapland Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lapland Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lastelaulud,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lasten Satuja,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lata,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Late Romantic Era,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Afrobeat,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Alternative,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin American Classical Piano,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Arena Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Christian,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Classical,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Funk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin House,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Ska,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Soundtrack,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Surf Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Talent Show,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Tech House,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Viral Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Viral Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latin Worship,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latincore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latino Comedy,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latintronica,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latinx Alternative,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latvian Electronic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latvian Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latvian Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latvian Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latvian Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Latvian Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Laulaja-Lauluntekija,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lawrence Ks Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lds,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lds Youth,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lebanese Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lebanese Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Leeds Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Leicester Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Leipzig Electronic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Leipzig Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lesen,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Levenslied,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lexington Ky Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lezginka,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lgbtq+ Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Library Music,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Libyan Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Liechtenstein,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Liedermacher,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Light Music,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lilith,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Limerick Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Liquid Funk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lithuanian EDM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lithuanian Electronic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lithuanian Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lithuanian Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lithuanian Jazz,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lithuanian Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lithuanian Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lithuanian Trap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Little Rock Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Liverpool Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Livetronica,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lldm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lo Star,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lo-Fi,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lo-Fi Beats,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lo-Fi Brasileiro,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lo-Fi Chill,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lo-Fi Cover,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lo-Fi Emo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lo-Fi House,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lo-Fi Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lo-Fi Jazzhop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lo-Fi Product,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lo-Fi Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lo-Fi Vgm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,London Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,London On Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,London Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Long Island Punk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Louange,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Louisiana Blues,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Louisiana Metal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Louisville Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Louisville Underground,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lounge,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lounge House,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Louvor,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Louvor Icm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Love Live,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lovers Rock,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lowercase,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lowlands Hardcore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Luk Thung,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lullaby,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lund Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lustrum,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lute,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Luxembourgian Indie,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Macedonian Electronic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Macedonian Folk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Macedonian Hip Hop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Macedonian Pop,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Madchester,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Madrigal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Maga Rap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Maghreb,,,,,,,,,,,,,,,,,,,,,
